"Park ID","Park Name","Address","Location Description","Park Category","Linear Park System","District","Classification Type","Neighbourhood","Electoral Ward","CCA","Water Area in Hectares","Land Area in Hectares","Polygon","Total Area in Hectares"
"190","Brooklyn Street South Park",,"242 Brooklyn St","Park and Open Space",,"North","Neighbourhood","KING EDWARD","St. James","St. James - Assiniboia","0","0.040106","MULTIPOLYGON (((-97.21019229399225 49.88082188886125, -97.21017131896582 49.88105424630395, -97.21038664901366 49.88106181245221, -97.21040754747308 49.88082939002184, -97.21019229399225 49.88082188886125)))","0.040106"
"116","River Osborne Wading Pool/Block Parents",,"466 Gertrude Ave","Park and Open Space",,"South","Neighbourhood","McMILLAN","Fort Rouge - East Fort Garry","River Heights","0","0.056079","MULTIPOLYGON (((-97.14414225212079 49.87578600821583, -97.14390647977721 49.87549263206102, -97.14371803041362 49.87555573938211, -97.1439538246528 49.875849139659195, -97.14414225212079 49.87578600821583)))","0.056079"
"6183","Waterford Green Trail South",,"210 Old Commonwealth Path","Park and Open Space",,"North","Linkage","INKSTER GARDENS","Point Douglas","Inkster","0","0.331819","MULTIPOLYGON (((-97.20225505511492 49.95631905412743, -97.20226500211776 49.95627194146319, -97.20210111653276 49.956254685309446, -97.20201452044924 49.95660522576761, -97.20197342342266 49.95660532380529, -97.20193213691346 49.95660713917419, -97.20189023749555 49.9566107645117, -97.20185188137725 49.956615698748166, -97.20181291498848 49.95662235352993, -97.2017755782913 49.95663036078525, -97.20173694270498 49.95664043627418, -97.20169988150029 49.95665194916247, -97.20166363777514 49.95666512990749, -97.20163068628564 49.95667894947043, -97.20159825220846 49.95669448349164, -97.20156577600879 49.95671225106686, -97.20153603185854 49.95673081568292, -97.20150916149284 49.956749857771236, -97.20148407142638 49.95677003531205, -97.20145974709712 49.95679240400772, -97.20159281191754 49.956817132005604, -97.20174316210246 49.956842758942216, -97.20189000438488 49.956865460376896, -97.2020365693811 49.95688586289152, -97.20218299475279 49.9569040279932, -97.20233281247232 49.956920349177715, -97.20247891210269 49.95693408425159, -97.20262693712561 49.95694582548096, -97.20261724458989 49.95691683368708, -97.20260524891548 49.956890117796746, -97.20259010714898 49.95686336183422, -97.20257239386035 49.956837671299176, -97.20255300118029 49.956813931188286, -97.2025295780928 49.95678941198904, -97.20250290000175 49.95676544867208, -97.20247423079722 49.95674320015348, -97.2024434005821 49.956722413607146, -97.20241104513751 49.95670341181894, -97.20237505555029 49.95668507205056, -97.20233987878096 49.956669563191596, -97.20230046344503 49.95665464473254, -97.20226042807057 49.95664184709926, -97.20221974785974 49.956631034141935, -97.20217950789629 49.95662233445364, -97.20225505511492 49.95631905412743)), ((-97.20229494402545 49.95615890674608, -97.20245622470415 49.9555078644391, -97.20229062629447 49.95549079224705, -97.20211907742771 49.95618793066456, -97.20228256556001 49.95620544066482, -97.20229494402545 49.95615890674608)))","0.331819"
"2836","Creekside-Springwater Park",,"S side of Creekside Rd, E of Springwater Rd","Park and Open Space",,"South","Linkage","BRIDGWATER LAKES","Waverley West","Fort Garry","0","0.515802","MULTIPOLYGON (((-97.19316150326539 49.804887973132956, -97.19318542676668 49.804915798571415, -97.19330771174701 49.80487456550587, -97.1930514817499 49.80455988933184, -97.19388485541283 49.804275106234265, -97.19386307871282 49.804248512159816, -97.19383907362818 49.804248512308014, -97.19376240237882 49.80414984495389, -97.19377677690869 49.804129405048776, -97.19376566312603 49.80411476119596, -97.19371506909852 49.804130306404, -97.19327251286155 49.80428118002853, -97.19279528607314 49.803694196129385, -97.19275901780144 49.803760162972836, -97.19272616906198 49.80382349437385, -97.19269451269903 49.80388831162454, -97.19266462428172 49.80395354568186, -97.19263503224114 49.804022778900695, -97.19261007246288 49.80408554071059, -97.1925845278283 49.804154890416086, -97.19256193350188 49.80422163902491, -97.19254062960226 49.80429056049539, -97.19252151256528 49.80435891246134, -97.19250468540996 49.804425965602036, -97.19248949737677 49.80449422936338, -97.19247548894585 49.80456677143038, -97.19246517560653 49.804629228755196, -97.19245647122277 49.8046916788766, -97.1924482625903 49.804765324152264, -97.19292877681461 49.80460180426868, -97.19316150326539 49.804887973132956)))","0.515802"
"588","Redonda Lane Walkway-1",,"E of 751 Kildare Ave E","Park and Open Space",,"East","Buffer","KILDARE-REDONDA","Transcona","Transcona","0","0.019761","MULTIPOLYGON (((-96.9799641912921 49.90123034248252, -96.98007141575083 49.90123111448062, -96.98007640029259 49.90094559977759, -96.98000003322146 49.90094505428314, -96.97999685773901 49.901016635849786, -96.97998981911027 49.90108810233423, -96.97997892588226 49.90115936678166, -96.9799641912921 49.90123034248252)))","0.019761"
"93","Assiniboia West Rec. Assoc.-Morgan Site",,"305 Morgan Cres","Park and Open Space",,"North","Community","CRESTVIEW","St. James","St. James - Assiniboia","0","0.865253","MULTIPOLYGON (((-97.30372369882885 49.890703270147924, -97.30372962349051 49.89068666263825, -97.30387326604685 49.889228077589344, -97.30379965752988 49.889226161231626, -97.30280477192015 49.889184401455225, -97.3027249145093 49.889977192204135, -97.30346989615765 49.8900084633493, -97.30339580122762 49.89074615629423, -97.30372369882885 49.890703270147924)))","0.865253"
"3946","Castlebury South Park",,"Between 591 & 601 Castlebury Meadows Dr","Park and Open Space",,"North","Neighbourhood","NORTH INKSTER INDUSTRIAL","Old Kildonan","Inkster","0","0.127623","MULTIPOLYGON (((-97.21089735472903 49.95730896272696, -97.2108982524656 49.95698540492095, -97.21035851252194 49.95698476493036, -97.21054418008754 49.95730854748113, -97.21057490304055 49.95735461555059, -97.21089717900621 49.95735471864173, -97.21089735472903 49.95730896272696)))","0.127623"
"2889","Transcona Centennial Square",,"135 Regent Ave W","Park and Open Space",,"East","Neighbourhood","VICTORIA WEST","Transcona","Transcona","0","0.10326","MULTIPOLYGON (((-97.00506376528617 49.89547912380504, -97.00505978995412 49.895205135404076, -97.0045880533086 49.89520238119386, -97.00459201420583 49.89547638466768, -97.00506376528617 49.89547912380504)))","0.10326"
"21","Kinsmen Legacy Park",,"35 Bayview Pl","Park and Open Space",,"East","Neighbourhood","KILDARE-REDONDA","Transcona","Transcona","0","2.18865","MULTIPOLYGON (((-96.9861353187842 49.90655263001707, -96.98570850865144 49.90599783746354, -96.98401812482876 49.905985303696696, -96.98393233641072 49.90603946377059, -96.9839106799904 49.90731027361565, -96.98399460670173 49.907365454917546, -96.98574540769313 49.90737350389713, -96.98583132483235 49.90731910455621, -96.98583472286845 49.90714268163028, -96.98576536369718 49.90680775133153, -96.98624200663807 49.90671976555415, -96.98621892560307 49.90667740027961, -96.98619342279773 49.90663533909437, -96.98616580122254 49.90659408648756, -96.9861353187842 49.90655263001707)))","2.18865"
"352","Primrose Tot Lot",,"46 Primrose Cres","Park and Open Space",,"North","Neighbourhood","GARDEN CITY","Old Kildonan","Seven Oaks","0","0.496346","MULTIPOLYGON (((-97.14158575386642 49.93912620631413, -97.14156425207184 49.93910752698121, -97.14154300215226 49.93908675058043, -97.14152448028861 49.939066225622796, -97.14150633922 49.93904318982978, -97.14149147398825 49.93902129008647, -97.14147769679322 49.938997373331524, -97.14146648892967 49.93897383590016, -97.14145711710522 49.9389491757809, -97.14145026155336 49.93892530689481, -97.1414454559129 49.93890104009594, -97.14144277906308 49.938876670623316, -97.14144225340407 49.93885128415667, -97.1414440349683 49.938825870062935, -97.14144789377475 49.93880167270345, -97.14145381095494 49.938777777508314, -97.14146196029861 49.938753669516196, -97.14089923847283 49.93857136692977, -97.14015489268783 49.939032586427345, -97.14114023941562 49.93935008602068, -97.14158575386642 49.93912620631413)))","0.496346"
