"Park ID","Park Name","Address","Location Description","Park Category","Linear Park System","District","Classification Type","Neighbourhood","Electoral Ward","CCA","Water Area in Hectares","Land Area in Hectares","Polygon","Total Area in Hectares"
"7261","1924 St. Mary's Riverbank",,"S of 1924 St. Mary's Rd","Greenfield - Future Park",,"East","Greenfield - Future Park: Nature, Linkage","RIVER PARK SOUTH","St. Norbert - Seine River","St. Vital","0","0.24746","MULTIPOLYGON (((-97.1136816938001 49.814130765837334, -97.11442572813098 49.8138727368134, -97.11440822174175 49.81384121173551, -97.11440616807155 49.81380105992487, -97.11438998958677 49.813745206571895, -97.11439394398381 49.813736455677216, -97.11441198712123 49.81371929872266, -97.11439939311603 49.81370713020506, -97.11438191684955 49.81370612617141, -97.11435527852562 49.81369199391436, -97.11434394452215 49.81368167101398, -97.11433989203096 49.8136643343624, -97.11433929267608 49.813568886017336, -97.11434613019759 49.813543181205034, -97.11434171867221 49.813491521294836, -97.11355350540005 49.813764872887496, -97.1136816938001 49.814130765837334)))","0.24746"
"1083","Amber Trail Greenspace",,"S side Amber Trail opposite Courland By","Park and Open Space",,"North","Neighbourhood","AMBER TRAILS","Old Kildonan","Seven Oaks","0","1.701318","MULTIPOLYGON (((-97.1731864398403 49.96406964882048, -97.17326824231861 49.96409528495446, -97.17335296952459 49.964120457263434, -97.17343884326223 49.96414457741732, -97.173523809555 49.96416709972753, -97.17370962506291 49.96386646921549, -97.17387084262631 49.96390534052092, -97.1740345241055 49.96393966032698, -97.17420035436442 49.96396936243041, -97.17436801662525 49.96399438989652, -97.17453720019938 49.96401469686829, -97.17470759509625 49.96403024722663, -97.17487887566867 49.96404101066326, -97.17505102250915 49.964046976920486, -97.17477701979001 49.96360341020527, -97.17532063893235 49.962899911234125, -97.1741874807554 49.96253554602789, -97.17349894410101 49.96342654262282, -97.17325295729054 49.963347434034546, -97.17279249284671 49.9639430258427, -97.1731864398403 49.96406964882048)))","1.701318"
"886","Parc Morrissette",,"52 Jewett By","Park and Open Space",,"South","Neighbourhood","RIVER WEST PARK","Charleswood - Tuxedo - Westwood","Assiniboine South","0","0.371724","MULTIPOLYGON (((-97.3215739052657 49.86708175867618, -97.32064647309663 49.8668547184251, -97.32053905304552 49.86703787608199, -97.32010293661541 49.86693106583111, -97.32003121770686 49.86691242310847, -97.32001236641617 49.86694334135414, -97.32008490484013 49.866961815342634, -97.32052101581574 49.86706862917882, -97.3203211132961 49.867409470259986, -97.32055907119292 49.86746774596142, -97.3208192375016 49.86748688314176, -97.32140650241998 49.86717162491237, -97.3217045528145 49.86740356971927, -97.32173062889372 49.8674264238196, -97.32176571497315 49.867431772543945, -97.32178837861264 49.86741914008963, -97.32174370245382 49.86738255059985, -97.32144565332476 49.86715060771044, -97.3215739052657 49.86708175867618)))","0.371724"
"6321","Desrosiers Drive Buffer",,"231 Desrosiers Dr","Greenfield - Future Park",,"East","Greenfield - Future Park: Linkage","CANTERBURY PARK","Transcona","Transcona","0","0.324573","MULTIPOLYGON (((-96.96057406030789 49.893285274390756, -96.9605750738196 49.893231336620644, -96.95993457541682 49.8932262896228, -96.95993470296656 49.89291656881487, -96.96033762161235 49.89157323688467, -96.96107566640701 49.89100072463779, -96.9614532322699 49.89120391137686, -96.96154228530969 49.89113483273097, -96.9611647186367 49.890931645284816, -96.96165676735731 49.89054990736706, -96.96218629611298 49.889603628969816, -96.96218669134385 49.88941978011821, -96.96273263701967 49.889420339127064, -96.9627327345332 49.88933942046306, -96.96212140534595 49.889338796075485, -96.96212090781663 49.88959637224086, -96.96159914696514 49.89052870840233, -96.96027659352573 49.89155463193423, -96.95986929129832 49.892912541475425, -96.95986915377614 49.89327974181187, -96.96057406030789 49.893285274390756)))","0.324573"
"410","Parr Tot Lot",,"600 McKenzie St","Park and Open Space",,"North","Neighbourhood","INKSTER-FARADAY","Mynarski","Point Douglas","0","0.237391","MULTIPOLYGON (((-97.1413400134103 49.93210278144623, -97.14115586486251 49.9323411858616, -97.14215395498795 49.93266269953554, -97.14233850584087 49.932424029260496, -97.1413400134103 49.93210278144623)))","0.237391"
"333","Volunteer Park",,"288 Scotia St","Park and Open Space",,"North","Neighbourhood","SEVEN OAKS","Mynarski","Seven Oaks","0","0.055072","MULTIPOLYGON (((-97.11351973174541 49.9313719030646, -97.11353768774747 49.9314661079016, -97.11358936695378 49.93148418046775, -97.11403887220308 49.93162924499872, -97.11402368522421 49.93152885133719, -97.1140013191131 49.93152163956296, -97.11399577764723 49.93148374273405, -97.11395452390438 49.931462436596384, -97.11358714038474 49.9313393447028, -97.11357113313707 49.931338130848694, -97.11355529616166 49.93134006287504, -97.11354107924527 49.93134496391568, -97.11352978386813 49.93135238530743, -97.11352244406103 49.93136164766304, -97.11351973174541 49.9313719030646)))","0.055072"
"812","Parc Hazelwood Park",,"123 Hazelwood Cres","Park and Open Space",,"East","Neighbourhood","VISTA","St. Vital","St. Vital","0","0.698429","MULTIPOLYGON (((-97.1089645929845 49.82461353028538, -97.10894293796524 49.82461942159632, -97.10892107675043 49.82462254425473, -97.1088981747813 49.824623119478055, -97.1088766848431 49.82462120344671, -97.10885503851638 49.82461668635668, -97.10883411289272 49.82460937216669, -97.1088159900725 49.82459987207311, -97.10880135417943 49.82458884236475, -97.10879311751516 49.82458033910178, -97.10840541801441 49.82411080693812, -97.10819224465051 49.824184437486984, -97.1080248654781 49.82420773468085, -97.10713857895846 49.82451346861659, -97.10736861793306 49.824792156689874, -97.1074422180483 49.82476676562417, -97.10768671871531 49.825054653812636, -97.1089645929845 49.82461353028538)))","0.698429"
"1243","Oblate Field",,"Between 450 & 480 Augier Ave","Park and Open Space",,"North","Linkage","GLENDALE","Charleswood - Tuxedo - Westwood","St. James - Assiniboia","0","0.407042","MULTIPOLYGON (((-97.32338947978849 49.87472187606825, -97.32350786035526 49.87352780654404, -97.32291826155857 49.873598041878545, -97.32311783389153 49.874710857322825, -97.32312745996741 49.87475527832535, -97.32338770064672 49.87476316933552, -97.32338947978849 49.87472187606825)))","0.407042"
"5288","Wildwood Greenspace",,"E street end of Somerset Ave","Park and Open Space",,"South","Linkage","WILDWOOD","Fort Rouge - East Fort Garry","Fort Garry","0","0.245026","MULTIPOLYGON (((-97.14428193481932 49.84918615246663, -97.14387268012173 49.84924705015255, -97.14280901015469 49.84908797761028, -97.14253622936043 49.84875049916897, -97.14246084043566 49.84877598029234, -97.14287646665208 49.84928975327919, -97.14295158629766 49.84926436760665, -97.14314688599012 49.84950567596239, -97.14331335510586 49.84951355310589, -97.14428193481932 49.84918615246663)))","0.245026"
"355","McPhillips Greenway-4",,"E side McPhillips St between Dafoe Blvd & Richardson Ave","Park and Open Space",,"North","Buffer","GARDEN CITY","Old Kildonan","Seven Oaks","0","0.144857","MULTIPOLYGON (((-97.15647569614887 49.943013111624275, -97.15644569466767 49.943049114243216, -97.15637300417188 49.94302572409644, -97.15531242480257 49.94423398505494, -97.15538854160737 49.94425847213714, -97.1553521367809 49.94430565811272, -97.15535766514046 49.944306158374495, -97.15537454243656 49.944304011520124, -97.15539031300128 49.944299577982804, -97.155404242384 49.944293064236824, -97.1554156818804 49.94428477363381, -97.15648504423335 49.94306629221239, -97.15649029184493 49.943055624256345, -97.15649197524431 49.94304448452612, -97.15649002034834 49.94303336327588, -97.15648451319345 49.943022749946266, -97.15647569614887 49.943013111624275)))","0.144857"
"1200","Dovercourt Park",,"E of Dovercourt Dr, between Ocean Ridge Dr & Castle Ridge Dr","Park and Open Space",,"South","Neighbourhood","LINDEN RIDGE","Waverley West","Fort Garry","0","0.287882","MULTIPOLYGON (((-97.191324313739 49.82064037175131, -97.19134678653504 49.820646108414216, -97.19136804900067 49.82065266035023, -97.19138812309234 49.820659951364284, -97.19140739007833 49.82066807909547, -97.19142563038147 49.8206769343603, -97.19144446744694 49.82068746068045, -97.19146080736657 49.820697947575326, -97.19147671004973 49.820709639895554, -97.19149611401909 49.820726494128046, -97.19151237128578 49.82074370605086, -97.19160595806294 49.820860802686965, -97.19161892458129 49.820879817711045, -97.19163040840772 49.820902024453964, -97.19163849647516 49.82092493655306, -97.1916426390514 49.82094498515543, -97.19164414678193 49.82096737829234, -97.19164231845669 49.82099030435742, -97.19163713347876 49.821012882405704, -97.19162860064947 49.821035118498294, -97.19229160079757 49.82101311616791, -97.19178485857707 49.82028174176551, -97.191324313739 49.82064037175131)))","0.287882"
"319","Bondar Bay Tot Lot",,"58 Bondar By","Park and Open Space",,"North","Neighbourhood","THE MAPLES","Old Kildonan","Seven Oaks","0","0.414009","MULTIPOLYGON (((-97.18181808781654 49.95344110463069, -97.18179067620063 49.953424591365255, -97.18176648031535 49.953406104249765, -97.18174583906796 49.953385902232846, -97.18172904157504 49.953364268283266, -97.18171632311274 49.9533415054267, -97.18170786182172 49.95331793250061, -97.18170377621212 49.95329387968891, -97.18170412350406 49.953269683896316, -97.18080654354874 49.9532790700922, -97.18079774583346 49.95333078327164, -97.1807923910856 49.95335267486453, -97.18078251493276 49.95337390159169, -97.18076829737414 49.953394076569985, -97.18074999753736 49.95341283208533, -97.1807279489557 49.9534298262945, -97.18074299269057 49.95343293936042, -97.18075111853085 49.95378116223401, -97.18182559149201 49.95376998917919, -97.18181808781654 49.95344110463069)))","0.414009"
"155","Simcoe Tot Lot",,"332 Simcoe St","Park and Open Space",,"North Downtown","Neighbourhood","ST. MATTHEWS","Daniel McIntyre","Downtown","0","0.076228","MULTIPOLYGON (((-97.16683368014945 49.88966380916765, -97.16681731728879 49.88988527701373, -97.16725650564715 49.88989852779305, -97.16726360456886 49.889802707509666, -97.167246653326 49.88980219609148, -97.16725597972712 49.889676291430106, -97.16683368014945 49.88966380916765)))","0.076228"
"324","Ambergate Park",,"175 Amber Trail","Park and Open Space",,"North","Neighbourhood","AMBER TRAILS","Old Kildonan","Seven Oaks","2.349702","3.032854","MULTIPOLYGON (((-97.16775024756026 49.963142957184566, -97.16777688188724 49.96312073335708, -97.16779788593723 49.96309944737094, -97.16781829173961 49.96307380903665, -97.16783342490751 49.96304936368375, -97.16784545045729 49.963023192443345, -97.1678537293785 49.962996013343364, -97.16785792976599 49.96296903057579, -97.16785816262696 49.96294064626536, -97.16785428775216 49.962913150365765, -97.16784634998383 49.96288585662077, -97.16783527595966 49.96286078775297, -97.16782035845682 49.96283582990062, -97.16780217378587 49.96281209955985, -97.16777979842514 49.962788639530125, -97.1677537763464 49.962766393326795, -97.16772367599572 49.96274526590242, -97.16769353115154 49.96272773605193, -97.16764831129771 49.96270500249961, -97.16757185384812 49.96266799555521, -97.1674957573585 49.96263265826899, -97.16742557504193 49.962601335987294, -97.16735235380007 49.9625699057581, -97.167220156742 49.96251624542796, -97.1671468796663 49.962488139664494, -97.16707579272095 49.96246194611893, -97.16700422160409 49.962436609696915, -97.16692644259386 49.96241022034888, -97.1668591833211 49.96238835638448, -97.16680822455191 49.962372782827075, -97.16675427194255 49.96235741759845, -97.16669448095308 49.96234169056203, -97.16663856867068 49.962328179193996, -97.1665825605599 49.9623157666828, -97.16652437454515 49.96230402730777, -97.1664663432857 49.96229346207793, -97.16640857199236 49.962284051461296, -97.16635145331341 49.96227581089527, -97.16629341471875 49.96226850127582, -97.16623284053695 49.96226199744419, -97.16617450696361 49.96225680554242, -97.16611239273942 49.96225241932081, -97.16605193105812 49.96224927080538, -97.1659919687126 49.962247233054626, -97.16592962301988 49.962246254746375, -97.16587062982663 49.96224639741531, -97.16581101926917 49.96224759709865, -97.16575254989286 49.962249807193025, -97.1655121747532 49.96172018723994, -97.1654176881016 49.96173953304367, -97.16532327439549 49.961761951566615, -97.1652244678967 49.961788893062234, -97.165134537327 49.9618166964547, -97.16503968536371 49.961849651075084, -97.16495170658803 49.96188381183819, -97.16486892006331 49.96191939422931, -97.16478573728875 49.96195882943603, -97.16472305893997 49.96199122315972, -97.16465761983268 49.962027753552974, -97.16459509508668 49.96206551344803, -97.16453442981502 49.96210512864859, -97.16447885838684 49.96214431099225, -97.1644276770962 49.962183165326095, -97.1643752490544 49.96222610482135, -97.16432709840763 49.96226876577441, -97.16411315887795 49.96241574368952, -97.16518496289048 49.963094585935906, -97.16522715923718 49.96310735491663, -97.16527080375701 49.96311894578308, -97.16531466868538 49.96312903442794, -97.16536079843243 49.96313804134847, -97.16540465699364 49.963145146091215, -97.16545192459063 49.96315126811441, -97.16548908736505 49.96315499330392, -97.16555276384275 49.96315947105494, -97.16557346645182 49.9631617500107, -97.16560357161084 49.96316697124687, -97.16563376295547 49.96317467944871, -97.16565665148633 49.963182393998515, -97.16567648721839 49.96319059726881, -97.16569525600269 49.9631998938991, -97.16571551493439 49.96321199128065, -97.16573452368996 49.96322589145285, -97.1657501067199 49.96323987105057, -97.16576141379602 49.963252156679765, -97.1657727120239 49.963267269081854, -97.16578181591235 49.96328307258404, -97.16578954628785 49.963302312818286, -97.16579372259113 49.963320481208285, -97.16579500654093 49.963336963422826, -97.16579388216053 49.96335388993957, -97.16578993651791 49.963371884922374, -97.16578336765282 49.96338915962617, -97.16577325147006 49.963407382620744, -97.16575124505216 49.96343727010553, -97.16572361829364 49.96347207585287, -97.1656944044237 49.96350653367873, -97.16566497191181 49.963539144499755, -97.16560572879936 49.96359940782535, -97.16551703450749 49.96368154580619, -97.16549532070378 49.96370407786491, -97.1654726853098 49.963729867312814, -97.1654456939639 49.963764555901044, -97.1654210630376 49.96380135810236, -97.16539835197572 49.96384185721522, -97.16538202537909 49.96387741706844, -97.16504887797383 49.96410517635458, -97.16548457768636 49.9643932300654, -97.16550359738865 49.964413891326494, -97.16552660558946 49.96443687423806, -97.16555113245988 49.96445934513725, -97.16557608119993 49.964480388564205, -97.16560278898315 49.96450117925346, -97.16563039506852 49.96452103168653, -97.1656589137464 49.964540005689926, -97.165688162189 49.96455802760841, -97.16572835363367 49.96458068765748, -97.16576988452199 49.964601835257696, -97.16581365088756 49.96462190540032, -97.16585774618112 49.9646400592634, -97.16590405860305 49.9646570975009, -97.16595183926428 49.96467267642957, -97.16600082169502 49.964686693223754, -97.16605112916743 49.96469916407244, -97.16582173900669 49.964996080773204, -97.16577520925603 49.96505158477223, -97.16584597510618 49.96506818545651, -97.16592100548864 49.9650815673439, -97.16597056255671 49.965088582043784, -97.16600656928513 49.96509312006358, -97.16610789166559 49.96510385946561, -97.1661453724044 49.96505720562379, -97.16639137391802 49.96473867862701, -97.16645030281954 49.964738193186754, -97.1665065637433 49.96473575404573, -97.16656367085154 49.96473128290776, -97.16662040935287 49.964724810272756, -97.16683250116837 49.964732825827, -97.16842102175103 49.96524394335698, -97.168483604151 49.96526521620756, -97.16871253857327 49.96497062109245, -97.16864706103102 49.96495139556384, -97.16762655223602 49.964617668232094, -97.16740024740693 49.96435401218365, -97.16703370073256 49.96402565146409, -97.16708924685994 49.96395633720777, -97.16711963122687 49.96391499251044, -97.16714480191544 49.96387852215084, -97.16719160112257 49.96380411491927, -97.16725518381827 49.9636886403617, -97.16729441890995 49.963623787356106, -97.16731965782209 49.96358561218758, -97.16734567517787 49.96354861489489, -97.16740046752241 49.963477155527926, -97.16743834292717 49.96343198023321, -97.16747666391782 49.96338918431518, -97.16751980112667 49.963344031036186, -97.16756091246724 49.96330359608968, -97.1676029505494 49.963264559910364, -97.16764999817518 49.963223334383414, -97.16769922919933 49.96318268195954, -97.16775024756026 49.963142957184566)), ((-97.16569741581263 49.96515698878246, -97.165340170603 49.965619078013745, -97.16575470471193 49.96575245089581, -97.16616398598012 49.965222795090234, -97.16619845839281 49.965179680732575, -97.16604077646755 49.96516479311581, -97.16602939730964 49.96520993639962, -97.16588603833767 49.96519615218186, -97.16583334508381 49.9651892099468, -97.16579769860053 49.965182839914355, -97.16576402016192 49.96517551486938, -97.16573184106917 49.965167263242805, -97.16569741581263 49.96515698878246)))","5.382556"
"982","Scurfield Park North",,"SW Scurfield Blvd & Columbia Dr","Park and Open Space",,"South","Neighbourhood","WHYTE RIDGE","Waverley West","Fort Garry","0","0.653373","MULTIPOLYGON (((-97.20106170310935 49.81390891346423, -97.2012888292229 49.81421750171992, -97.20239056644664 49.814061345690384, -97.20233550462211 49.81361855720517, -97.2020805813622 49.81355611573344, -97.20204318490843 49.81356083115843, -97.20202118543384 49.81363313175056, -97.20197938007736 49.8136447050004, -97.20196105317113 49.81370052900262, -97.20201877684346 49.81369300850575, -97.20199044880391 49.81372623395366, -97.20190990923246 49.813793716897415, -97.20183229728613 49.81381144901216, -97.20167641000762 49.813807627334434, -97.20160589877518 49.81380793520181, -97.20147055310403 49.813774974739005, -97.20136484503287 49.81373195387464, -97.20134977534126 49.81375837143229, -97.20123419656176 49.8136892470791, -97.20103497379145 49.813537466753914, -97.20087626540848 49.81340384906185, -97.20084011972493 49.81335559564273, -97.20083201112718 49.81331826269673, -97.2008556484779 49.813258348404794, -97.20087254682348 49.81324107692123, -97.20095175648882 49.813204133299756, -97.2007791172132 49.81307433047023, -97.20024007272416 49.8132247253516, -97.20077503323263 49.813627440630846, -97.20085219817435 49.81369540618961, -97.2009257539376 49.81376502729679, -97.20099561575377 49.81383622373317, -97.20106170310935 49.81390891346423)))","0.653373"
"306","Red River C.C",,"293 Murray Ave","Park and Open Space",,"North","Community","RIVERBEND","North Kildonan","Seven Oaks","0","3.099004","MULTIPOLYGON (((-97.09951466763879 49.95444668307287, -97.09821629229083 49.955280967094566, -97.09817303539249 49.95530760201407, -97.09904724458859 49.95572531938125, -97.10092865301068 49.95656534654792, -97.10096439354638 49.956529823906436, -97.1019980466156 49.95557881465624, -97.09951466763879 49.95444668307287)))","3.099004"
"1138","Tikina'gaan Park",,"100 Comanche Rd","Park and Open Space",,"East","Neighbourhood","NIAKWA PARK","St. Boniface","St. Boniface","0","0.631911","MULTIPOLYGON (((-97.08934867393357 49.85737640786208, -97.08920355533179 49.85735672593944, -97.0891996179402 49.85742145296766, -97.08919002840237 49.85741780877932, -97.08918998861448 49.858078764595064, -97.08925427757417 49.85807575150613, -97.09102276670518 49.85807742087683, -97.09114654230055 49.858083136793574, -97.09140216777428 49.85810160751726, -97.09137218569896 49.85805145366878, -97.0913631013249 49.85805135278369, -97.09119201334369 49.858008713445, -97.09104827133719 49.857970481564, -97.09092357186722 49.85793548715156, -97.09080325612382 49.85790007420955, -97.09068878319765 49.85786484173028, -97.09056595317521 49.85782532566188, -97.09045113940299 49.85778674453178, -97.09041385426737 49.857778988858136, -97.09038290419068 49.85777585986399, -97.09032277220852 49.85776508160621, -97.09028147165714 49.857756652676336, -97.09023210458109 49.85774482833491, -97.09019817222496 49.85772550996248, -97.09016504704672 49.85770171898692, -97.09015107834344 49.85768803110315, -97.09013366457712 49.857677050127215, -97.09012023857842 49.857672000509716, -97.09011057647831 49.857662969433434, -97.08934867393357 49.85737640786208)))","0.631911"
"1339","Leila-Strasbourg Park",,"50 Strasbourg Dr","Park and Open Space",,"North","Neighbourhood","AMBER TRAILS","Old Kildonan","Seven Oaks","0","2.853068","MULTIPOLYGON (((-97.18164477406359 49.96601802562001, -97.18168955603784 49.965847503572014, -97.18161340924694 49.96582621213239, -97.18116727864648 49.965682811182624, -97.18195351289636 49.96466499181362, -97.18025906982416 49.9641205655421, -97.17918119363388 49.96551558629596, -97.17914498515583 49.965564813267804, -97.17911349397625 49.96561210360126, -97.17908525766676 49.96565908180495, -97.17905922666242 49.965707454760796, -97.17903554276698 49.965757237386704, -97.17901614419429 49.96580381501968, -97.1789997168422 49.965849265693834, -97.17896328456781 49.965973152971586, -97.1801937706 49.966014074425644, -97.18142442084661 49.96605290492325, -97.18154956272744 49.96605836773058, -97.18156971463821 49.96605746761455, -97.18157702482763 49.966056142480994, -97.18158916147878 49.96605394244322, -97.18160709024308 49.96604793959203, -97.18162275139132 49.96603971001967, -97.18163549018584 49.96602959777632, -97.18164477406359 49.96601802562001)))","2.853068"
"406","Luxton C.C",,"210 St. Cross St","Park and Open Space",,"North","Community","LUXTON","Mynarski","Point Douglas","0","0.727331","MULTIPOLYGON (((-97.1190011095541 49.9247620372255, -97.11796621452757 49.92442957845248, -97.11739516928148 49.925169116579596, -97.11834428141242 49.925475165000144, -97.11860607658477 49.92513631479109, -97.11859869444986 49.92513393768993, -97.11867913093288 49.925116772289066, -97.11874973824006 49.925026340386005, -97.11884358438266 49.924966121147726, -97.1190011095541 49.9247620372255)))","0.727331"
"5762","Enfield Park West",,"SE corner of Enfield Cres & St. Mary's Rd","Park and Open Space",,"East","Buffer","NORWOOD EAST","St. Boniface","St. Boniface","0","0.03511","MULTIPOLYGON (((-97.12174527512592 49.877101764614224, -97.12210918484776 49.87710329429387, -97.1221854018647 49.87710635542353, -97.12226526137562 49.87712151253645, -97.12226010757726 49.87711237875281, -97.12214327529993 49.87706842543048, -97.12217030758352 49.877040775858674, -97.12191863690754 49.87693801757603, -97.12174527512592 49.877101764614224)))","0.03511"
"347","Weinberg Tot Lot",,"23 Weinberg Rd","Park and Open Space",,"North","Neighbourhood","MARGARET PARK","Mynarski","Seven Oaks","0","0.197146","MULTIPOLYGON (((-97.12155531960028 49.945796604204126, -97.12149073504655 49.94577512365184, -97.12109527528614 49.94564770445255, -97.12104616481696 49.94611142663302, -97.1210385712547 49.94612122952905, -97.12146784346335 49.94625955797526, -97.1216589857939 49.94601309453636, -97.12169189667375 49.94597293169636, -97.1216623900595 49.9459661608663, -97.12163482910614 49.94595656499242, -97.1216098587942 49.9459443686376, -97.12158806347664 49.94592985722108, -97.12156995320392 49.94591337033853, -97.12155595178785 49.94589529381544, -97.1215463868838 49.94587605067727, -97.12154148232332 49.94585609125022, -97.1215413528765 49.945835882622134, -97.12154600156667 49.945815897712365, -97.12155531960028 49.945796604204126)))","0.197146"
"1413","Highbury Walkway South",,"S Aldgate Rd between Scammel Rd & Tilstone By","Park and Open Space",,"East","Linkage","RIVER PARK SOUTH","St. Norbert - Seine River","St. Vital","0","0.31418","MULTIPOLYGON (((-97.09442391886036 49.801810135747104, -97.09373672885823 49.80096993137329, -97.09414294778581 49.800832335400685, -97.09424799927257 49.800798266702365, -97.09421119965441 49.800750556690765, -97.09420981796842 49.80074097649579, -97.09414266635484 49.80074100960485, -97.09309144973444 49.80109732208799, -97.09307022393854 49.801105701169305, -97.09301082125617 49.80116413975376, -97.09305023532272 49.80120693269969, -97.09314941255731 49.801169022205926, -97.09362628426142 49.801007458202015, -97.09527869855988 49.80302910818592, -97.09537436012515 49.80297308828245, -97.09442391886036 49.801810135747104)))","0.31418"
"3680","Dakota Crossing Buffer",,"57 Twickenham Cir","Park and Open Space",,"East","Buffer","DAKOTA CROSSING","St. Norbert - Seine River","St. Vital","0","1.468128","MULTIPOLYGON (((-97.08171640910737 49.80478015533667, -97.08141509755495 49.80440747423026, -97.08758263632417 49.80231890102033, -97.08750427581306 49.802254088135896, -97.0741159986987 49.80678724787907, -97.07288081764165 49.80786387865997, -97.07249482431165 49.809374031386554, -97.0729248296168 49.81007469536672, -97.07280020988176 49.80962807830187, -97.0735605142989 49.8092596827626, -97.07370623094049 49.80919640274437, -97.0736890856606 49.80919588131606, -97.07366726111954 49.809193627566344, -97.07363424371947 49.80918811503201, -97.07361475918661 49.80918211842622, -97.07359210226178 49.80917323275247, -97.07356819039074 49.80915801741682, -97.0734530243799 49.80921072109185, -97.07275240032962 49.80955017635843, -97.07263759246675 49.80936310480428, -97.07301237475383 49.80790001448529, -97.07422759268877 49.80684078460826, -97.08130432402426 49.804444982145796, -97.0816081828638 49.804820844349614, -97.08163676696192 49.80485366684462, -97.08168966152317 49.804885523165545, -97.08172827830502 49.80486269251888, -97.08176657364723 49.80484799282432, -97.08171640910737 49.80478015533667)))","1.468128"
