"Asset ID","Asset Class","Park ID","Park Name","Asset Type","Asset Size","Primary Field","Location","Installation Date","Asset Description","Geometry Type","Point","Line","Polygon"
"126557","PLAY STRUCTURE","6843","Glenella Gardens Park","5 TO 12","LARGE","N/A","    (5536986.45676562, 635325.559912384)",,,"POINT","POINT (-97.11286801778182 49.969861102787185)",,
"23380","SEATING","795","Demare-Dodick Park","BENCH","N/A","N/A","    (5521213.26079241, 634322.379315185)",,,"POINT","POINT (-97.13233286220084 49.82829599566818)",,
"84513","SANDBOX","999","Assiniboine Park","N/A","N/A","N/A","    (5525938.49968057, 627020.444250406)",,,"POLYGON",,,"MULTIPOLYGON (((-97.23225998255093 49.87236706837516, -97.23226384626963 49.87237257560101, -97.23226810391505 49.87237778427782, -97.23227273250369 49.87238266628827, -97.23227822726233 49.872387631757675, -97.23228410534145 49.87239213691525, -97.2322903282862 49.8723961522879, -97.23230101493051 49.872438942447616, -97.23226713110573 49.87244654514554, -97.23224019940136 49.87243578208661, -97.23222283017557 49.87248139214251, -97.23222378289229 49.87248279256122, -97.23222485405519 49.872484104602286, -97.23222603550965 49.87248531827731, -97.23222731826144 49.872486424346754, -97.2322286925451 49.87248741439025, -97.23223014789842 49.87248828087074, -97.23223167324198 49.87248901719182, -97.23223324347201 49.87248961328931, -97.2322348593512 49.87249007142582, -97.23223650878337 49.87249038817185, -97.23223817942126 49.87249056115629, -97.2322398587588 49.87249058908422, -97.23224153422484 49.87249047174659, -97.23224319327718 49.87249021002174, -97.23224482349652 49.87248980586891, -97.23224641267934 49.872489262313486, -97.23225699706929 49.87248630412049, -97.23226760949792 49.872483448148806, -97.23227824897809 49.8724806946641, -97.23228900999626 49.872478020686145, -97.23229979652534 49.872475451549995, -97.23231060754391 49.87247298749893, -97.2323725865328 49.87245718632253, -97.23239070732961 49.872452958896204, -97.23240891257865 49.87244911138815, -97.2324271943155 49.872445645481584, -97.2324458147904 49.87244252023546, -97.23246449739646 49.872439790862046, -97.2324832337184 49.87243745859076, -97.23246979155212 49.87239811384757, -97.23246034303251 49.8723576240201, -97.23245498249955 49.87231639338419, -97.23245375193068 49.87227541184958, -97.2324565605421 49.87223450815561, -97.23246338106469 49.87219407944117, -97.23245213707291 49.87218375864656, -97.23244009416217 49.87218920018851, -97.23242758472482 49.87219346118074, -97.23241472417985 49.872196502308995, -97.23240423091204 49.87219804107791, -97.23239365029154 49.872198766990664, -97.2323830451913 49.8721986757337, -97.23237247862964 49.87219776784927, -97.23236042300687 49.87219615175479, -97.23234855255767 49.872193498033326, -97.23233695641757 49.87218982661174, -97.23232670653908 49.87218562006262, -97.23231682036409 49.87218061820215, -97.23230735948637 49.87217485219338, -97.23229306709021 49.87217355308412, -97.23227872859913 49.872172946498125, -97.23226437754893 49.87217303385413, -97.23225013303679 49.8721738082204, -97.23223594219931 49.87217526626728, -97.23222183783139 49.872177404625226, -97.2322229649356 49.872181589777945, -97.23222371025068 49.87218585948199, -97.23222406770999 49.87219017898312, -97.2322240344039 49.87219451312178, -97.23222360344302 49.87219887614652, -97.23222277651739 49.8722031817134, -97.23222156051412 49.87220739396319, -97.2322199655608 49.87221147781383, -97.23223522135378 49.87221780835248, -97.23224996827187 49.872225247663295, -97.23226412586396 49.87223375516145, -97.23227642579793 49.8722423816495, -97.23228811875873 49.87225181453557, -97.23229915197139 49.87226201124534, -97.23230177616999 49.87226429471791, -97.23230420106812 49.87226678881783, -97.23230640981572 49.872269476214214, -97.23230838706476 49.87227233823299, -97.23231011907583 49.872275354986705, -97.2323115938136 49.87227850551266, -97.23231280103049 49.87228176791863, -97.23231373233781 49.87228511953495, -97.23231438126417 49.87228853707205, -97.23231474330032 49.87229199678232, -97.23231481593056 49.87229547462506, -97.23231459368694 49.872298993636484, -97.23231407516124 49.87230248132408, -97.2323132640555 49.87230591278749, -97.23231216616063 49.872309263527775, -97.23231078931502 49.872312509622326, -97.23230914334869 49.87231562789564, -97.232307240013 49.872318596084796, -97.23230509289682 49.87232139299841, -97.2323027173295 49.8723239986679, -97.2323001302714 49.8723263944901, -97.23229735019282 49.87232856336003, -97.23229281292228 49.872332530911216, -97.23228809008513 49.87233627565364, -97.23228319261199 49.87233978892039, -97.2322777751615 49.87234328049876, -97.2322721853198 49.87234648885643, -97.23226643788003 49.87234940550268, -97.23226547828418 49.872349821112806, -97.23226455686411 49.87235031562369, -97.23226368009321 49.87235088556118, -97.23226285413118 49.87235152692121, -97.23226208478079 49.87235223519794, -97.23226137744703 49.8723530054154, -97.2322607370993 49.872353832162474, -97.23226016823627 49.87235470963089, -97.23225967485449 49.87235563165604, -97.23225926042018 49.872356591760294, -97.23225892784494 49.87235758319847, -97.23225867126087 49.872358640283394, -97.23225850772967 49.87235971570027, -97.23225843849447 49.872360801274034, -97.23225846408158 49.872361888752415, -97.2322585842965 49.87236296986863, -97.23225879822539 49.87236403640431, -97.23225910424198 49.87236508025189, -97.23225950002004 49.872366093476266, -97.23225998255093 49.87236706837516)))"
"122286","STAND-ALONE PLAY COMPONENT","638","Sir Sam Steele Park","N/A","N/A","N/A","    (5529587.28915004, 637450.760821805)",,,"POINT","POINT (-97.08588677761091 49.90286333281722)",,
"52564","SEATING","1228","Central C.C / Freighthouse","BENCH","N/A","N/A","    (5529663.93913209, 632935.014870782)",,,"POINT","POINT (-97.14871051906341 49.904573102492485)",,
"155801","SEATING","848","Smithdale Park","BENCH","N/A","N/A","    (5525812.37646923, 625391.870064601)",,,"POINT","POINT (-97.25495448747063 49.871576492486675)",,
"44832","SWING SET","614","Helene Marsh Park","N/A","2 BAY","N/A","    (5528523.39977989, 641036.852728513)",,,"POINT","POINT (-97.0363664566242 49.89246526894135)",,
"72164","SEATING","4220","Parc Charette Park","BENCH","N/A","N/A","    (5514826.03209635, 632758.277018229)",,,"POINT","POINT (-97.15625111684602 49.771225043201234)",,
"62742","MONUMENT","1847","Archambault Park","BOULDER WITH PLAQUE","N/A","N/A","    (5531629.61809895, 640505.744319662)","2014 Aug 16 12:00:00 AM","Archambault Park","POINT","POINT (-97.04262644475017 49.920511858877255)",,
"76321","SEATING","790","St. Vital Park","BENCH","N/A","N/A","    (5521469.853495, 634239.149246901)",,,"POINT","POINT (-97.13340067675344 49.8306212832927)",,
